OBJECTID,URL_PATH,IMAGE_PATH,IMAGE_ALT_,PHOTOCREDI,PAGETITLE,ATT_NAMES_PROC,LASTMODIFI,LATITUDE,LONGTITUDE,ADDRESS,POSTALCODE,OVERVIEW,EXTERNAL_L,META_DESCR,OPENING_HO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
41,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/artscience-museum.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/art-science-musuem-carousel01-rect.jpg,The ArtScience Museum in Singapore hosts a variety of international touring exhibitions.,Vincent Chong,ArtScience Museum Singapore,ArtScience Museum|艺术科学博物馆,2015-11-02T18:21:50.005+08:00,1.28624,103.85929,6 Bayfront Ave,,Catch world-class touring exhibitions at this premier exhibition space.,http://www.marinabaysands.com/museum.html,Catch world-class touring exhibitions at the ArtScience Museum at Marina Bay Sands.,"Daily, 10am class touring exhibitions at the ArtScience Museum at Marina Bay Sands.",A37D6925DE629AB0,2017-01-09,30890.4018,29851.4184
42,www.yoursingapore.com/en/see-do-singapore/history/history-museums/memories-at-ford-factory.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/memories-at-ford-factory-carousel01-rect.jpg,"The site of the first Ford plant in Southeast Asia, the Old Ford Factory in Singapore is a journey to the past.",Joel Chua DY,Old Ford Factory Singapore Museum,Old Ford Factory|古迹福特工厂,2015-10-26T14:21:11.852+08:00,1.35232,103.76883,351 Upper Bukit Timah Road,,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.,http://www.nas.gov.sg/moff/Home.aspx,The Old Ford Factory is a repository of memories about the hardships endured during the Japanese Occupation of Singapore.,"Monday to Saturday, 9am a repository of memories about the hardships endured during the Japanese Occupation of Singapore.",E7C292E56A127988,2017-01-09,20823.1487,37158.2861
43,www.yoursingapore.com/en/see-do-singapore/history/history-museums/singapore-coins-notes-museum.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-coins-and-notes-museum-carousel01-rect.jpg,Explore the city of Singapore through its coins and notes over the years at the Singapore Coins and Notes Museum.,Joel Chua DY,Singapore Coins and Notes Museum & Museum Singapore,Singapore Coins and Notes Museum|新加坡钱币纸钞博物馆,2015-10-26T14:00:10.268+08:00,1.28343,103.84452,"40 Pagoda Street, Level 1",,The rare collection of currencies on display here tells Singaporee years at the Singapore Coins and Notes Museum.,http://www.singaporecoinsandnotesmuseum.com/index1.php,The Singapore Coins and Notes Museum tells the story of Singapore through the currencies it has used over the years.,"Daily, 10am e Coins and Notes Museum tells the story of Singapore through the currencies it has used over the years.",D91B6BB291D5749B,2017-01-09,29246.6256,29540.691
44,www.yoursingapore.com/en/see-do-singapore/history/history-museums/singapore-city-gallery.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-city-gallery-carousel02-rect.jpg,,,Singapore City Gallery,Singapore City Gallery|新加坡城市画廊,2015-10-26T14:11:48.280+08:00,1.27987,103.84513,"45 Maxwell Road, The URA Centre",,The Singapore City Gallery tells the story of the cityo-singapore/history/singapore-city-gallery-carousel02-rect.jpg,http://www.ura.gov.sg/uol/citygallery.aspx,The Singapore City Gallery tells the story of the cityo-singapore/history/singapore-city-gallery-carousel02-rect.jpg,"Monday to Saturday, 9am ry tells the story of the cityo-singapore/history/singapore-city-gallery-carousel02-rect.jpg",D18E69A854F5D433,2017-01-09,29314.5154,29147.0449
45,www.yoursingapore.com/en/see-do-singapore/history/history-museums/changi-museum.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/changi-museum-carousel01-rect.jpg,Explore our wartime past by learning about the Fall of Singapore and the infamous Changi Prison.,Joel Chua DY,Changi Museum Singapore,Changi Museum|樟宜博物馆,2015-10-26T14:03:31.564+08:00,1.36218,103.97403,1000 Upper Changi Road North,,Changi Museum provides an emotional exploration of Singaporepore and the infamous Changi Prison.,http://www.changimuseum.sg,Changi Museum provides an emotional exploration of Singaporepore and the infamous Changi Prison.,"Daily, 9:30am provides an emotional exploration of Singaporepore and the infamous Changi Prison.",6620F5130495399B,2017-01-09,43659.5426,38248.9163
46,www.yoursingapore.com/en/see-do-singapore/history/history-museums/mint-musuem-of-toys.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/mint-museum-of-toys-carousel02-rect.jpg,"More than 50,000 vintage toys from as many as 40 countries are on display at this Singapore toy museum.",,MINT Museum of Toys Singapore & Toy Museum,MINT Museum of Toys|薄荷玩具博物馆,2015-10-26T14:08:00.518+08:00,1.29631,103.85439,26 Seah Street,,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.,http://www.emint.com,Singapore's MINT Museum of Toys' vast collection of vintage toys will delight both kids and adults.,"Daily, 9.30am NT Museum of Toys' vast collection of vintage toys will delight both kids and adults.",F0E7EFFBBA4995AA,2017-01-09,30345.0636,30964.9021
47,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/chinese-heritage-centre.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinese-heritage-centre-carousel02-rect.jpg,Explore questions on ethnic identity such as what it means to be a Chinese.,"Chinese Heritage Centre, NTU","Chinese Heritage Centre, Singapore",Chinese Heritage Centre|华族文化遗产中心,2015-11-02T09:59:33.922+08:00,1.34379,103.68398,12 Nanyang Drive,,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,http://chc.ntu.edu.sg/,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,"Monday to Friday, 9.30am re in Singapore is where you can find out more about overseas Chinese communities and their culture.",C68A99A82B561DDA,2017-01-09,11380.228,36215.4949
48,www.yoursingapore.com/en/see-do-singapore/places-to-see/kampong-glam.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/kampong-glam-carousel01-rect-norender.jpg,"Delve into Malay culture at the heart of its community, Kampong Glam Singapore.",,Kampong Glam & Malay Culture in Singapore,Kampong Glam|甘榜格南,2015-10-22T12:28:04.683+08:00,1.30238,103.8595,3 Muscat Street,,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",http://www.kampongglam.org.sg/,"Discover the heart of Singaporestory, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",,CB22177613508D3F,2017-01-09,30913.7547,31636.0967
49,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/centre-for-contemporary-art.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/afiq_omar_rect.jpg,"The Contemporary Arts Center hosts exhibitions, live performances, film screenings and talks by visiting artists and curators.",Courtesy of NTU CCA Singapore,Contemporary Arts Center,Contemporary Arts Center|当代艺术中心,2015-10-20T12:34:59.810+08:00,1.275,103.8045,43 Malan Road,,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.",http://www.ntu.ccasingapore.org/,The Contemporary Arts Center at the Nanyang Technological University uses a variety of medium to explore contemporary art.,"Tuesday to Sunday, 12pm nter at the Nanyang Technological University uses a variety of medium to explore contemporary art.",6A6F2B61ACBE12CB,2017-01-09,24792.7192,28608.5605
50,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/the-substation.html,,,,"The Substation, Singapore Contemporary Art Centre",The Substation Singapore|新加坡变电站,2015-10-20T12:32:55.819+08:00,1.2944,103.84934,45 Armenian Street,,This experimental arts centre gives a space for contemporary artists to try out new concepts.,http://www.substation.org,The Substation is an experimental arts centre that gives a space for contemporary artists to try out new concepts.,"The Substation Box Office ,Monday to Friday, 12pm - 2pm and 5pm - 8pm.Saturday and Sunday, open an hour prior to weekend showtimes. Closed on public holidays.The Substation Gallery Daily, 12pm ],PARAMETER[""False_Easting"",28001.642],PARAMETER[""False_North",DC83F6C5F5008A06,2017-01-09,29783.0444,30753.6999
